Objects Inv Int (1/um),
0.009804,
0.008170,
0.006394,
0.001634,
0.024510,
0.006127,
0.004744,
0.029412,
0.002723,
0.036765,
0.036765,
0.018382,
0.010504,
0.006127,
0.016340,
0.009804,
0.016340,
0.021008,
0.007003,
0.004202,
0.014706,
0.008170,
0.009191,
0.007003,
0.008651,
0.009191,
0.018382,
0.013369,
0.005447,
0.024510,
0.006394,
0.004456,
0.008170,
0.018382,
0.005656,
0.009191,
0.004202,
0.009804,
0.003587,
0.012255,
0.005071,
0.024510,
0.018382,
0.009804,
0.036765,
0.009804,
0.021008,
0.016340,
0.011312,
0.013369,
0.005882,
0.009804,
0.010504,
0.007003,
0.004596,
0.004744,
0.014706,
0.018382,
0.006394,
0.005882,
0.021008,
0.003975,
0.024510,
0.036765,
0.024510,
0.007003,
0.007003,
0.018382,
0.016340,
0.021008,
0.021008,
0.014706,
0.016340,
0.005656,
0.007003,
0.008651,
0.018382,
0.008651,
0.008651,
0.012255,
0.010504,
0.009191,
0.016340,
0.014706,
0.006684,
0.013369,
0.005882,
0.005071,
0.036765,
0.016340,
0.016340,
0.013369,
0.007740,
0.004596,
0.009804,
0.010504,
0.006127,
0.018382,
0.012255,
0.011312,
0.014706,
0.009804,
0.009191,
0.016340,
0.014706,
0.036765,
0.010504,
0.016340,
0.006394,
0.013369,
0.011312,
0.007353,
0.024510,
0.005447,
0.006127,
0.024510,
0.029412,
0.011312,
0.008170,
0.024510,
0.012255,
0.029412,
0.024510,
0.010504,
0.036765,
0.016340,
0.007353,
0.006684,
0.024510,
0.029412,
0.021008,
0.024510,
0.002828,
0.009191,
0.012255,
0.018382,
0.009191,
0.008651,
0.018382,
0.009191,
0.009191,
0.016340,
0.013369,
0.007353,
0.009191,
0.016340,
0.011312,
0.018382,
0.008651,
0.029412,
0.036765,
0.010504,
0.018382,
0.036765,
0.012255,
0.024510,
0.021008,
0.009191,
0.009804,
0.014706,
0.008170,
0.029412,
0.016340,
0.021008,
0.021008,
0.014706,
0.021008,
0.036765,
0.012255,
0.008651,
0.018382,
0.024510,
0.016340,
0.016340,
0.014706,
0.024510,
0.006127,
0.016340,
0.007353,
0.014706,
0.021008,
0.036765,
0.008170,
0.024510,
0.005252,
0.016340,
0.029412,
0.029412,
0.024510,
0.014706,
0.009191,
0.021008,
0.021008,
0.014706,
