Holes Int (um),
14018.046000,
13186.467000,
441.246000,
13033.728000,
288.507000,
12880.989000,
169.710000,
12117.294000,
84.855000,
11930.613000,
11760.903000,
11591.193000,
10691.730000,
10505.049000,
10199.571000,
135.768000,
84.855000,
492.159000,
9961.977000,
339.420000,
746.724000,
9741.354000,
475.188000,
1001.289000,
9469.818000,
627.927000,
1272.825000,
8790.978000,
2308.056000,
8621.268000,
2681.418000,
8485.500000,
3054.780000,
8332.761000,
3394.200000,
6924.168000,
780.666000,
441.246000,
4293.663000,
6720.516000,
458.217000,
288.507000,
220.623000,
5040.387000,
6211.386000,
220.623000,
186.681000,
407.304000,
424.275000,
6109.560000,
6007.734000,
5922.879000,
169.710000,
5838.024000,
5736.198000,
5634.372000,
5464.662000,
5261.010000,
4904.619000,
4785.822000,
4650.054000,
4531.257000,
4429.431000,
4310.634000,
4005.156000,
3886.359000,
3801.504000,
3614.823000,
3428.142000,
3292.374000,
3241.461000,
3139.635000,
3037.809000,
2969.925000,
2919.012000,
2868.099000,
84.855000,
356.391000,
220.623000,
84.855000,
356.391000,
1289.796000,
84.855000,
288.507000,
458.217000,
186.681000,
254.565000,
441.246000,
186.681000,
101.826000,
8146.080000,
7704.834000,
7416.327000,
7161.762000,
7025.994000,
6805.371000,
6584.748000,
6432.009000,
6245.328000,
5922.879000,
5685.285000,
5532.546000,
5396.778000,
5227.068000,
5023.416000,
4921.590000,
4819.764000,
4717.938000,
4531.257000,
4242.750000,
4140.924000,
4073.040000,
661.869000,
186.681000,
84.855000,
322.449000,
84.855000,
118.797000,
152.739000,
390.333000,
84.855000,
356.391000,
339.420000,
780.666000,
152.739000,
2308.056000,
661.869000,
84.855000,
11048.121000,
11217.831000,
84.855000,
695.811000,
1001.289000,
933.405000,
84.855000,
356.391000,
424.275000,
84.855000,
220.623000,
67.884000,
10199.571000,
10403.223000,
543.072000,
8977.659000,
8994.630000,
8332.761000,
8247.906000,
7891.515000,
7806.660000,
7806.660000,
67.884000,
6465.951000,
6398.067000,
6313.212000,
6262.299000,
6245.328000,
7229.646000,
7161.762000,
7127.820000,
7110.849000,
101.826000,
5939.850000,
5871.966000,
5804.082000,
5770.140000,
5736.198000,
84.855000,
186.681000,
5736.198000,
5668.314000,
5617.401000,
5617.401000,
