Holes Inv Int (1/um),
0.014706,
0.029412,
0.016340,
0.021008,
0.010504,
0.011312,
0.036765,
0.013369,
0.010504,
0.021008,
0.009191,
0.029412,
0.005071,
0.009191,
0.029412,
0.005071,
0.012255,
0.011312,
0.029412,
0.014706,
0.016340,
0.036765,
0.006684,
0.021008,
0.036765,
0.016340,
0.012255,
0.008170,
0.008651,
0.006394,
0.029412,
0.029412,
0.018382,
0.011312,
0.021008,
0.009804,
0.004085,
0.036765,
0.010504,
0.013369,
0.016340,
0.036765,
0.008170,
0.018382,
0.016340,
0.021008,
0.011312,
0.024510,
0.016340,
0.012255,
0.009804,
0.024510,
0.036765,
0.016340,
0.012255,
0.010504,
0.009804,
0.014706,
0.011312,
0.036765,
0.014706,
0.018382,
0.024510,
0.005447,
0.021008,
0.012255,
0.024510,
0.006394,
0.024510,
0.024510,
0.029412,
0.036765,
0.018382,
0.013369,
0.018382,
0.016340,
0.007353,
0.013369,
0.029412,
0.021008,
0.009804,
0.010504,
0.009804,
0.005656,
0.029412,
0.021008,
0.012255,
0.018382,
0.016340,
0.012255,
0.018382,
0.024510,
0.016340,
0.003870,
0.016340,
0.011312,
0.013369,
0.014706,
0.021008,
0.012255,
0.029412,
0.014706,
0.029412,
0.014706,
0.018382,
0.009804,
0.013369,
0.010504,
0.012255,
0.005447,
0.013369,
0.029412,
0.010504,
0.011312,
0.006394,
0.013369,
0.036765,
0.029412,
0.014706,
0.024510,
0.036765,
0.002884,
0.018382,
0.013369,
0.036765,
0.010504,
0.016340,
0.024510,
0.009191,
0.010504,
0.024510,
0.009804,
0.012255,
0.013369,
0.029412,
0.024510,
0.011312,
0.013369,
0.024510,
0.016340,
0.024510,
0.005071,
0.029412,
0.021008,
0.013369,
0.018382,
0.016340,
0.029412,
0.024510,
0.013369,
0.014706,
0.029412,
0.029412,
0.018382,
0.014706,
0.021008,
0.024510,
0.011312,
0.018382,
0.024510,
0.010504,
0.029412,
0.018382,
0.029412,
0.014706,
0.014706,
0.024510,
0.012255,
0.029412,
0.012255,
0.018382,
0.010504,
0.007740,
0.014706,
0.008170,
0.014706,
0.024510,
0.006394,
0.007740,
0.006684,
0.036765,
0.009804,
0.036765,
0.016340,
0.024510,
0.021008,
0.010504,
0.011312,
0.011312,
0.007740,
0.012255,
0.021008,
0.014706,
0.016340,
0.016340,
0.007740,
0.007353,
0.016340,
0.006127,
0.013369,
0.016340,
0.024510,
0.024510,
0.016340,
0.021008,
0.014706,
0.024510,
0.010504,
0.024510,
0.018382,
0.009804,
0.024510,
0.018382,
0.021008,
0.018382,
0.018382,
0.012255,
0.010504,
0.018382,
0.036765,
0.021008,
0.016340,
0.029412,
0.011312,
0.009191,
0.021008,
0.021008,
0.009804,
0.014706,
0.029412,
0.029412,
0.036765,
0.018382,
0.036765,
0.029412,
0.018382,
0.021008,
0.018382,
0.010504,
0.009191,
0.011312,
0.011312,
0.036765,
0.036765,
0.004902,
0.036765,
0.012255,
0.021008,
0.018382,
0.014706,
0.012255,
0.021008,
0.018382,
0.036765,
0.036765,
0.036765,
0.013369,
0.021008,
0.013369,
0.029412,
0.013369,
0.009191,
0.024510,
0.021008,
0.011312,
0.013369,
0.018382,
0.018382,
0.018382,
0.007353,
0.005447,
0.003975,
0.016340,
0.024510,
0.021008,
0.011312,
0.012255,
0.024510,
0.006394,
0.013369,
0.010504,
0.018382,
0.021008,
0.016340,
0.018382,
0.024510,
0.011312,
0.018382,
0.021008,
0.036765,
0.021008,
0.024510,
0.021008,
0.036765,
0.006394,
0.029412,
0.024510,
0.006127,
0.011312,
0.021008,
0.021008,
0.021008,
0.029412,
0.024510,
0.009191,
0.014706,
0.021008,
0.009804,
0.007003,
0.029412,
0.029412,
0.018382,
0.013369,
0.036765,
0.014706,
0.009804,
0.011312,
0.018382,
0.016340,
0.036765,
0.024510,
0.018382,
0.029412,
0.024510,
0.029412,
0.014706,
0.007740,
0.006684,
0.009804,
0.014706,
0.021008,
0.008651,
0.021008,
0.004202,
0.018382,
0.029412,
0.021008,
0.018382,
0.011312,
0.021008,
0.018382,
0.018382,
0.014706,
0.029412,
0.012255,
0.012255,
0.024510,
0.018382,
0.016340,
0.021008,
0.024510,
0.016340,
0.011312,
0.036765,
0.016340,
0.029412,
0.029412,
0.010504,
0.029412,
0.029412,
0.014706,
0.029412,
0.009191,
0.018382,
0.018382,
0.008651,
0.018382,
0.013369,
0.007740,
0.009191,
0.005252,
0.021008,
0.016340,
0.029412,
0.014706,
0.021008,
0.029412,
0.016340,
0.029412,
0.036765,
0.029412,
0.021008,
0.013369,
0.024510,
0.018382,
0.036765,
0.013369,
0.007740,
0.013369,
0.021008,
0.021008,
0.036765,
0.008170,
0.021008,
0.005656,
0.029412,
0.010504,
0.013369,
0.021008,
0.009191,
0.024510,
0.016340,
0.018382,
0.036765,
0.036765,
0.036765,
0.021008,
0.007740,
0.021008,
0.024510,
0.018382,
0.029412,
0.021008,
0.010504,
0.029412,
0.029412,
0.021008,
0.014706,
0.021008,
0.013369,
0.016340,
0.036765,
0.009191,
0.036765,
0.024510,
0.036765,
0.009191,
0.024510,
0.018382,
0.021008,
0.021008,
0.007353,
0.008651,
0.016340,
0.021008,
0.029412,
0.024510,
0.009804,
0.029412,
0.014706,
0.016340,
0.014706,
0.036765,
0.016340,
0.021008,
0.029412,
0.024510,
0.024510,
0.029412,
0.029412,
0.036765,
0.009191,
0.014706,
0.036765,
0.012255,
0.016340,
0.012255,
0.024510,
0.014706,
0.024510,
0.007003,
0.036765,
0.008651,
0.024510,
0.009191,
0.016340,
0.016340,
0.021008,
0.018382,
0.016340,
0.024510,
0.010504,
0.008170,
0.018382,
0.036765,
0.029412,
0.029412,
0.013369,
0.013369,
0.018382,
0.018382,
0.012255,
0.021008,
0.012255,
0.021008,
0.014706,
0.010504,
0.016340,
0.009804,
0.021008,
0.018382,
0.012255,
0.036765,
0.009191,
0.005447,
0.021008,
0.021008,
