Objects Int (um),
322.449000,
814.608000,
1561.332000,
118.797000,
441.246000,
577.014000,
118.797000,
933.405000,
101.826000,
271.536000,
458.217000,
678.840000,
797.637000,
186.681000,
984.318000,
203.652000,
950.376000,
339.420000,
101.826000,
101.826000,
356.391000,
339.420000,
305.478000,
441.246000,
186.681000,
152.739000,
254.565000,
441.246000,
560.043000,
1255.854000,
305.478000,
610.956000,
288.507000,
746.724000,
118.797000,
220.623000,
322.449000,
543.072000,
135.768000,
169.710000,
356.391000,
118.797000,
322.449000,
458.217000,
118.797000,
288.507000,
729.753000,
322.449000,
271.536000,
475.188000,
610.956000,
865.521000,
118.797000,
390.333000,
492.159000,
101.826000,
797.637000,
169.710000,
356.391000,
424.275000,
424.275000,
152.739000,
780.666000,
118.797000,
458.217000,
492.159000,
254.565000,
916.434000,
84.855000,
305.478000,
135.768000,
101.826000,
220.623000,
288.507000,
322.449000,
458.217000,
237.594000,
135.768000,
271.536000,
424.275000,
526.101000,
509.130000,
237.594000,
305.478000,
339.420000,
610.956000,
288.507000,
695.811000,
101.826000,
169.710000,
254.565000,
526.101000,
67.884000,
169.710000,
356.391000,
67.884000,
288.507000,
441.246000,
118.797000,
373.362000,
695.811000,
661.869000,
526.101000,
492.159000,
577.014000,
101.826000,
390.333000,
390.333000,
118.797000,
475.188000,
865.521000,
407.304000,
407.304000,
135.768000,
101.826000,
288.507000,
169.710000,
152.739000,
101.826000,
186.681000,
1221.912000,
254.565000,
152.739000,
424.275000,
254.565000,
152.739000,
288.507000,
356.391000,
526.101000,
509.130000,
288.507000,
203.652000,
203.652000,
543.072000,
526.101000,
271.536000,
152.739000,
339.420000,
135.768000,
492.159000,
322.449000,
712.782000,
118.797000,
169.710000,
152.739000,
186.681000,
237.594000,
186.681000,
101.826000,
254.565000,
322.449000,
509.130000,
220.623000,
237.594000,
118.797000,
458.217000,
661.869000,
678.840000,
373.362000,
186.681000,
509.130000,
220.623000,
101.826000,
101.826000,
373.362000,
577.014000,
322.449000,
101.826000,
780.666000,
390.333000,
373.362000,
118.797000,
186.681000,
254.565000,
101.826000,
237.594000,
67.884000,
118.797000,
118.797000,
424.275000,
509.130000,
237.594000,
135.768000,
407.304000,
101.826000,
237.594000,
84.855000,
322.449000,
424.275000,
526.101000,
373.362000,
339.420000,
186.681000,
152.739000,
203.652000,
322.449000,
373.362000,
729.753000,
322.449000,
186.681000,
135.768000,
186.681000,
339.420000,
797.637000,
152.739000,
220.623000,
220.623000,
169.710000,
152.739000,
644.898000,
118.797000,
288.507000,
390.333000,
254.565000,
644.898000,
543.072000,
526.101000,
135.768000,
373.362000,
135.768000,
543.072000,
458.217000,
661.869000,
526.101000,
118.797000,
237.594000,
933.405000,
135.768000,
899.463000,
220.623000,
475.188000,
305.478000,
101.826000,
135.768000,
101.826000,
288.507000,
135.768000,
390.333000,
220.623000,
169.710000,
407.304000,
322.449000,
475.188000,
492.159000,
458.217000,
288.507000,
254.565000,
84.855000,
152.739000,
356.391000,
695.811000,
678.840000,
84.855000,
118.797000,
203.652000,
135.768000,
271.536000,
186.681000,
135.768000,
780.666000,
152.739000,
543.072000,
152.739000,
186.681000,
101.826000,
305.478000,
203.652000,
135.768000,
305.478000,
356.391000,
339.420000,
135.768000,
441.246000,
458.217000,
67.884000,
526.101000,
271.536000,
186.681000,
492.159000,
560.043000,
967.347000,
695.811000,
169.710000,
509.130000,
390.333000,
101.826000,
356.391000,
661.869000,
237.594000,
560.043000,
848.550000,
390.333000,
135.768000,
169.710000,
186.681000,
661.869000,
101.826000,
203.652000,
543.072000,
543.072000,
475.188000,
288.507000,
237.594000,
135.768000,
152.739000,
169.710000,
407.304000,
746.724000,
627.927000,
152.739000,
101.826000,
84.855000,
186.681000,
152.739000,
492.159000,
916.434000,
560.043000,
84.855000,
373.362000,
526.101000,
186.681000,
560.043000,
305.478000,
407.304000,
135.768000,
424.275000,
390.333000,
101.826000,
543.072000,
627.927000,
1442.535000,
1408.593000,
644.898000,
407.304000,
84.855000,
152.739000,
101.826000,
1001.289000,
729.753000,
678.840000,
644.898000,
152.739000,
186.681000,
186.681000,
509.130000,
101.826000,
288.507000,
644.898000,
237.594000,
135.768000,
1052.202000,
390.333000,
933.405000,
712.782000,
356.391000,
169.710000,
101.826000,
186.681000,
729.753000,
254.565000,
