Objects Int (um),
84.855000,
135.768000,
118.797000,
118.797000,
678.840000,
848.550000,
84.855000,
305.478000,
1018.260000,
220.623000,
593.985000,
1103.115000,
356.391000,
848.550000,
1170.999000,
543.072000,
475.188000,
1238.883000,
1272.825000,
2528.679000,
1357.680000,
2749.302000,
1306.767000,
2986.896000,
1221.912000,
3937.272000,
1170.999000,
4174.866000,
1103.115000,
118.797000,
1629.216000,
441.246000,
1629.216000,
1086.144000,
339.420000,
1476.477000,
305.478000,
1595.274000,
1052.202000,
1900.752000,
169.710000,
1544.361000,
1052.202000,
1968.636000,
1493.448000,
1035.231000,
2426.853000,
1357.680000,
1035.231000,
2341.998000,
1204.941000,
1001.289000,
2257.143000,
1018.260000,
1001.289000,
2206.230000,
814.608000,
1001.289000,
1578.303000,
610.956000,
984.318000,
203.652000,
373.362000,
492.159000,
441.246000,
288.507000,
984.318000,
67.884000,
458.217000,
458.217000,
288.507000,
967.347000,
1408.593000,
950.376000,
1476.477000,
933.405000,
1323.738000,
916.434000,
1120.086000,
865.521000,
950.376000,
848.550000,
882.492000,
882.492000,
831.579000,
950.376000,
763.695000,
984.318000,
865.521000,
950.376000,
763.695000,
933.405000,
627.927000,
916.434000,
593.985000,
882.492000,
560.043000,
848.550000,
543.072000,
831.579000,
644.898000,
797.637000,
543.072000,
797.637000,
424.275000,
848.550000,
441.246000,
899.463000,
475.188000,
916.434000,
475.188000,
882.492000,
458.217000,
848.550000,
492.159000,
797.637000,
526.101000,
780.666000,
475.188000,
729.753000,
441.246000,
712.782000,
152.739000,
780.666000,
865.521000,
950.376000,
1035.231000,
1120.086000,
1187.970000,
1272.825000,
1340.709000,
1391.622000,
1442.535000,
1493.448000,
1544.361000,
1612.245000,
1663.158000,
1731.042000,
1663.158000,
1561.332000,
1442.535000,
1340.709000,
1221.912000,
1120.086000,
967.347000,
763.695000,
135.768000,
101.826000,
101.826000,
84.855000,
67.884000,
118.797000,
118.797000,
644.898000,
169.710000,
1238.883000,
67.884000,
1612.245000,
237.594000,
1917.723000,
373.362000,
2308.056000,
3037.809000,
169.710000,
3173.577000,
3784.533000,
3903.330000,
1357.680000,
2155.317000,
1204.941000,
1255.854000,
1204.941000,
780.666000,
322.449000,
865.521000,
203.652000,
1069.173000,
67.884000,
1272.825000,
1340.709000,
1255.854000,
1137.057000,
254.565000,
